,Nombre,Bailabilidad,Energía,Acústica,Duración (ms),Instrumentalidad,Sonoridad,Tempo,Discursividad,Género
22,I'm Good (Blue),0.561,0.965,0.00383,175238,7.07e-06,-3.673,128.04,0.0343,pop
23,Low,0.698,0.546,0.425,181080,0.00314,-7.234,145.044,0.0559,pop
24,BESO,0.768,0.644,0.736,194543,0.000837,-6.671,95.05,0.136,pop
25,Space Song,0.508,0.792,0.229,320467,0.124,-7.311,147.067,0.0297,pop
26,golden hour,0.515,0.593,0.653,209260,0.162,-4.801,94.467,0.0322,pop
27,Jimmy Cooks (feat. 21 Savage),0.529,0.673,0.000307,218365,2.41e-06,-4.711,165.921,0.175,pop
28,Die For You,0.586,0.525,0.111,260253,0.0,-7.163,133.629,0.0615,pop
29,Sweater Weather,0.612,0.807,0.0495,240400,0.0177,-2.81,124.053,0.0336,pop
30,Starboy,0.679,0.587,0.141,230453,6.35e-06,-7.015,186.003,0.276,pop
31,Chanel,0.852,0.675,0.397,201993,0.00317,-5.738,132.005,0.0363,pop
32,Karma,0.642,0.62,0.0734,204852,0.0,-7.091,90.02,0.0666,pop
33,As It Was,0.52,0.731,0.342,167303,0.00101,-5.338,173.93,0.0557,pop
34,OMG,0.804,0.771,0.357,212253,3.07e-06,-4.067,126.956,0.0433,pop
35,Nonsense,0.74,0.697,0.0268,163648,0.0,-4.912,138.992,0.034,pop
36,Blank Space,0.753,0.678,0.085,231827,1.64e-06,-5.421,96.006,0.0644,pop
37,Unholy (feat. Kim Petras),0.714,0.472,0.013,156943,4.51e-06,-7.375,131.121,0.0864,pop
38,Apocalypse,0.369,0.467,0.0194,290147,0.46,-9.018,94.473,0.0274,pop
39,Double Fantasy (with Future),0.6,0.567,0.00621,268235,8.73e-06,-7.269,119.043,0.033,pop
40,cardigan,0.613,0.581,0.537,239560,0.000345,-8.588,130.033,0.0424,pop
41,Enchanted,0.455,0.623,0.0739,352187,0.000424,-3.878,163.893,0.0288,pop
42,Style,0.598,0.786,0.00253,231000,0.0016,-5.572,95.019,0.0383,pop
43,Lover,0.359,0.543,0.492,221307,1.58e-05,-7.582,68.534,0.0919,pop
44,Spin Bout U,0.773,0.701,0.01,214589,0.0,-6.386,129.963,0.0512,pop
45,Heat Waves,0.761,0.525,0.44,238805,6.7e-06,-6.9,80.87,0.0944,pop
46,Blinding Lights,0.514,0.73,0.00146,200040,9.54e-05,-5.934,171.005,0.0598,pop
47,The Hills,0.585,0.564,0.0671,242253,0.0,-7.063,113.003,0.0515,pop
48,Late Night Talking,0.714,0.728,0.298,177955,0.0,-4.595,114.996,0.0468,pop
49,Escapism.,0.538,0.742,0.138,272373,4.67e-05,-5.355,96.107,0.114,pop
0,Everlong,0.413,0.881,5.99e-05,250547,0.000308,-5.541,158.066,0.0367,metal
1,Chop Suey!,0.417,0.934,0.000278,210240,0.0015,-3.908,127.066,0.119,metal
2,Enter Sandman (Remastered),0.566,0.834,0.00277,331560,0.008,-8.412,123.296,0.0298,metal
3,In the End,0.556,0.864,0.00958,216880,0.0,-5.87,105.143,0.0584,metal
4,Kryptonite,0.545,0.865,0.00664,233933,1.1e-05,-5.708,99.009,0.0286,metal
5,Numb,0.496,0.863,0.0046,185587,0.0,-4.153,110.018,0.0381,metal
6,Break Stuff,0.432,0.884,0.0127,166707,0.000527,-6.659,108.948,0.13,metal
7,Change (In the House of Flies),0.269,0.853,0.000249,299533,0.000246,-4.647,141.581,0.0854,metal
8,Livin' On A Prayer,0.532,0.887,0.0778,249293,0.000214,-3.757,122.511,0.0335,metal
9,Sweet Child O' Mine,0.446,0.952,0.0901,356067,0.0857,-5.321,125.303,0.0523,metal
10,Last Resort,0.589,0.89,0.000481,199907,0.00082,-3.719,90.598,0.0603,metal
11,Just Pretend,0.457,0.834,0.00252,204677,0.00125,-4.674,140.032,0.0817,metal
12,Crazy Train,0.454,0.913,0.408,293183,0.000271,-4.008,137.688,0.107,metal
13,Dragula,0.591,0.963,8.74e-05,222827,0.000107,-6.489,125.03,0.0531,metal
14,Kickstart My Heart,0.465,0.977,0.00111,284027,0.00298,-3.839,89.535,0.175,metal
15,Toxicity,0.413,0.873,0.000264,218933,0.00249,-4.151,116.68,0.0536,metal
16,Be Quiet and Drive (Far Away),0.206,0.965,9.91e-06,299867,0.827,-5.116,92.615,0.079,metal
17,Duality,0.354,0.982,0.000237,252613,0.000294,-3.026,143.772,0.168,metal
18,Paralyzer,0.644,0.939,0.157,208107,0.0,-3.486,106.031,0.0456,metal
19,Paranoid - 2012 - Remaster,0.412,0.658,4.52e-05,168406,0.000774,-12.051,163.071,0.0708,metal
20,My Own Summer (Shove It),0.443,0.781,1.33e-05,214760,0.205,-4.277,71.841,0.0377,metal
21,Coming Undone,0.687,0.677,0.000643,199773,0.000137,-4.172,75.052,0.0508,metal
22,All The Small Things,0.434,0.897,0.0103,167067,0.0,-4.918,148.726,0.0488,metal
23,One Step Closer,0.492,0.969,0.0014,157333,1.32e-06,-4.419,95.136,0.0491,metal
24,Bring Me To Life,0.331,0.943,0.00721,235893,2.06e-06,-3.188,94.612,0.0698,metal
25,Welcome To The Jungle,0.453,0.987,0.0195,273480,0.283,-4.485,123.544,0.0889,metal
26,Master of Puppets (Remastered),0.539,0.828,0.00067,515387,0.421,-9.108,105.25,0.035,metal
27,The Middle,0.643,0.849,0.0371,165853,0.0,-5.428,162.152,0.0526,metal
28,"You're Gonna Go Far, Kid",0.55,0.917,0.00428,177827,0.0,-3.159,126.115,0.0638,metal
29,Under the Bridge,0.559,0.345,0.0576,264307,0.000105,-13.496,84.581,0.0459,metal
30,Cherry Waves,0.47,0.859,0.000362,317707,0.00691,-3.663,124.01,0.0537,metal
31,Animal I Have Become,0.553,0.853,0.000684,231400,0.0,-3.668,122.023,0.0339,metal
32,Drive,0.645,0.792,0.0562,232453,0.0121,-7.34,90.565,0.036,metal
33,Freak On a Leash,0.353,0.898,2.23e-05,255733,0.105,-5.877,103.293,0.052,metal
34,Sextape,0.367,0.634,0.000824,241533,0.0759,-6.475,89.981,0.027,metal
35,Scar Tissue,0.595,0.717,0.0779,215907,0.00274,-4.803,88.969,0.0295,metal
36,Hail to the King,0.58,0.916,0.000297,305907,0.0259,-4.358,118.004,0.0387,metal
37,Fake It,0.611,0.95,0.00141,193893,1.59e-06,-3.509,132.078,0.0518,metal
38,Black Hole Sun,0.35,0.828,0.000217,318587,0.000161,-5.373,105.435,0.041,metal
39,What I've Done,0.623,0.93,0.0141,205613,1.64e-06,-5.285,120.119,0.0324,metal
40,You Give Love A Bad Name,0.541,0.96,0.0663,222707,2.25e-06,-2.947,122.803,0.0505,metal
41,Killing In The Name,0.466,0.833,0.0266,313573,0.0,-4.215,88.785,0.304,metal
42,Aerials,0.364,0.922,0.000915,235053,0.0346,-4.217,79.342,0.0567,metal
43,Bleed It Out,0.529,0.967,0.114,166373,0.0,-3.647,140.127,0.0508,metal
44,The Diary of Jane - Single Version,0.392,0.964,7.13e-05,200547,0.0387,-4.441,167.024,0.0644,metal
45,The Reason,0.472,0.671,0.0129,232800,0.0,-4.649,82.952,0.029,metal
46,Can't Stop,0.618,0.938,0.0179,269000,0.0,-3.442,91.455,0.0456,metal
47,Bodies,0.656,0.932,0.00347,201960,0.00147,-3.405,130.936,0.0708,metal
48,What's My Age Again?,0.391,0.951,0.0126,148360,0.000378,-7.419,157.66,0.0692,metal
49,Custer,0.407,0.98,0.00174,254467,0.000112,-1.58,131.066,0.107,metal
0,Cupid - Twin Ver.,0.783,0.592,0.435,174253,4.15e-06,-8.332,120.018,0.0331,k-pop
1,OMG,0.804,0.771,0.357,212253,3.07e-06,-4.067,126.956,0.0433,k-pop
2,Like Crazy,0.629,0.733,0.0025,212241,0.0,-5.445,120.001,0.0419,k-pop
3,Like Crazy (English Version),0.623,0.755,0.00306,212254,0.0,-5.386,119.957,0.0415,k-pop
4,FLOWER,0.841,0.384,0.0236,173134,2.28e-06,-7.684,123.961,0.0351,k-pop
5,Ditto,0.814,0.641,0.027,185507,0.0,-5.957,133.854,0.111,k-pop
6,Cupid,0.774,0.66,0.662,174253,0.0,-8.2,120.023,0.0328,k-pop
7,I AM,0.683,0.875,0.0115,183853,0.0,-4.866,122.002,0.0549,k-pop
8,Hype Boy,0.593,0.935,0.268,179027,0.0,-3.43,99.976,0.225,k-pop
9,Super,0.771,0.88,0.162,200387,1.41e-06,-4.091,137.018,0.0857,k-pop
10,They Don't Love It,0.536,0.814,0.0388,113292,0.0,-5.407,96.7,0.306,k-pop
11,on the street (with J. Cole),0.681,0.821,0.532,214701,0.00111,-5.12,94.074,0.131,k-pop
12,First Class,0.902,0.582,0.111,173948,3.18e-06,-5.902,107.005,0.109,k-pop
13,UNFORGIVEN (feat. Nile Rodgers),0.795,0.875,0.111,182149,8.94e-05,-4.079,104.008,0.0525,k-pop
14,Attention,0.811,0.648,0.236,180067,0.0,-3.684,104.988,0.0368,k-pop
15,Set Me Free Pt.2,0.585,0.815,0.115,200930,0.0,-4.165,132.09,0.0565,k-pop
16,LEFT RIGHT,0.767,0.721,0.153,208066,1.52e-06,-5.586,150.065,0.0456,k-pop
17,Sugar Rush Ride,0.712,0.893,0.00788,186571,0.0,-3.995,125.022,0.0851,k-pop
18,ANTIFRAGILE,0.882,0.797,0.0821,184444,0.0,-3.299,105.025,0.0819,k-pop
19,After LIKE,0.68,0.922,0.103,176973,0.0,-1.215,125.014,0.121,k-pop
20,Shoong! (feat. LISA of BLACKPINK),0.763,0.699,0.00789,205101,0.0,-6.118,110.01,0.0554,k-pop
21,Rover,0.629,0.806,0.0212,174507,0.000487,-2.034,186.022,0.201,k-pop
22,Dynamite,0.746,0.765,0.0112,199054,0.0,-4.41,114.044,0.0993,k-pop
23,Common Ground,0.807,0.681,0.507,100424,0.0,-5.612,98.173,0.345,k-pop
24,Typa Girl,0.915,0.621,0.0745,179173,0.0,-6.519,131.984,0.1,k-pop
25,Tyler Herro,0.792,0.793,0.0872,156578,0.0,-6.185,123.031,0.0841,k-pop
26,SET ME FREE,0.756,0.831,0.0966,181680,0.0,-2.536,113.025,0.141,k-pop
27,Hold On Tight,0.586,0.816,0.0911,149719,2.81e-06,-6.331,119.8,0.283,k-pop
28,Run BTS,0.724,0.818,0.0201,204940,0.0,-3.747,77.004,0.168,k-pop
29,Cookie,0.847,0.638,0.0596,235562,0.0,-3.764,156.935,0.0575,k-pop
30,SHOOTING STAR,0.625,0.712,0.0229,203557,0.0,-5.996,163.015,0.0539,k-pop
31,MONEY,0.831,0.554,0.161,168228,6.12e-05,-9.998,140.026,0.218,k-pop
32,LOVE DIVE,0.703,0.709,0.00379,177187,5.43e-05,-4.169,117.941,0.0433,k-pop
33,WHATS POPPIN,0.923,0.604,0.017,139741,0.0,-6.671,145.062,0.245,k-pop
34,Tinnitus (Wanna be a rock),0.9,0.725,0.179,157262,0.00101,-6.213,100.015,0.135,k-pop
35,Zero,0.705,0.653,0.31,154194,1.46e-05,-7.407,171.932,0.17,k-pop
36,Face-off,0.689,0.539,0.178,229627,1.45e-05,-7.671,119.949,0.048,k-pop
37,How You Like That,0.812,0.761,0.0465,182956,0.000135,-5.222,130.032,0.0812,k-pop
38,CASE 143,0.812,0.89,0.0961,191965,0.0,-2.661,100.006,0.209,k-pop
39,Shut Down,0.82,0.686,0.00412,175889,0.0,-5.102,110.058,0.038,k-pop
40,"Eve, Psyche & The Bluebeard’s wife",0.663,0.872,0.0153,185539,0.0,-5.056,142.951,0.2,k-pop
41,The Planet,0.665,0.848,0.000482,178156,0.0,-3.619,119.986,0.0708,k-pop
42,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],0.71,0.879,0.158,201391,0.00142,-4.218,114.993,0.0422,k-pop
43,Love Me Like This,0.803,0.805,0.00805,188719,0.0,-4.167,97.031,0.064,k-pop
44,Denver,0.711,0.775,0.268,158238,0.0,-7.078,175.016,0.0773,k-pop
45,Hurt,0.599,0.446,0.731,177947,0.0,-6.511,179.877,0.0833,k-pop
46,Kitsch,0.8,0.792,0.0119,195440,1.11e-06,-4.953,102.0,0.0529,k-pop
47,MOONLIGHT SUNRISE,0.749,0.781,0.392,180320,2.12e-06,-3.265,125.09,0.0578,k-pop
48,All Eyes On Me,0.779,0.646,0.026,163523,2.66e-05,-5.884,110.048,0.0388,k-pop
49,MANIAC,0.581,0.8,0.154,182758,0.0,-2.613,119.872,0.411,k-pop
0,See You Again (feat. Kali Uchis),0.558,0.559,0.371,180387,7.49e-06,-9.222,78.558,0.0959,hip-hop
1,Search & Rescue,0.817,0.44,0.0603,272113,1.42e-06,-8.482,142.024,0.0734,hip-hop
2,No Role Modelz,0.69,0.521,0.324,292799,0.0,-8.492,100.028,0.339,hip-hop
3,Creepin' (with The Weeknd & 21 Savage),0.715,0.62,0.417,221520,0.0,-6.005,97.95,0.0484,hip-hop
4,Rich Flex,0.561,0.52,0.0503,239360,1.86e-06,-9.342,153.15,0.244,hip-hop
5,Superhero (Heroes & Villains) [with Future & Chris Brown],0.526,0.606,0.152,182667,2.36e-06,-5.3,116.622,0.259,hip-hop
6,SLUT ME OUT,0.938,0.606,0.117,123673,0.0,-6.396,121.108,0.419,hip-hop
7,Trance (with Travis Scott & Young Thug),0.571,0.549,0.18,194787,0.0,-7.38,119.497,0.404,hip-hop
8,Jimmy Cooks (feat. 21 Savage),0.529,0.673,0.000307,218365,2.41e-06,-4.711,165.921,0.175,hip-hop
9,Glock In My Lap,0.847,0.733,0.00574,193591,1.04e-05,-6.439,130.029,0.16,hip-hop
10,Favorite Song,0.816,0.367,0.314,208630,0.0,-9.354,116.035,0.0588,hip-hop
11,Money Trees,0.716,0.531,0.0703,386907,0.0,-7.355,71.994,0.122,hip-hop
12,WAIT FOR U (feat. Drake & Tems),0.463,0.642,0.314,189893,0.0,-4.474,83.389,0.34,hip-hop
13,Wet Dreamz,0.495,0.722,0.0697,239267,0.0,-8.108,175.627,0.357,hip-hop
14,Spin Bout U,0.773,0.701,0.01,214589,0.0,-6.386,129.963,0.0512,hip-hop
15,Pink + White,0.545,0.545,0.667,184516,5.48e-05,-7.362,159.94,0.107,hip-hop
16,Heartless,0.79,0.647,0.0515,211000,0.0,-5.983,87.999,0.136,hip-hop
17,PRIDE.,0.665,0.535,0.0786,275253,1.68e-05,-7.056,138.842,0.0572,hip-hop
18,Freestyle,0.877,0.517,0.217,162053,0.0,-5.426,119.996,0.0706,hip-hop
19,Knife Talk (with 21 Savage ft. Project Pat),0.849,0.424,0.0635,242966,0.0,-9.579,145.887,0.324,hip-hop
20,Too Many Nights (feat. Don Toliver & with Future),0.684,0.671,0.189,199920,2.37e-05,-4.392,88.048,0.0464,hip-hop
21,MIDDLE CHILD,0.837,0.364,0.149,213594,0.0,-11.713,123.984,0.276,hip-hop
22,LOVE. FEAT. ZACARI.,0.8,0.585,0.264,213400,0.0,-7.343,126.058,0.0924,hip-hop
23,Low Down,0.962,0.619,0.0354,144652,0.0,-5.562,127.958,0.405,hip-hop
24,SORRY NOT SORRY,0.481,0.797,0.404,206050,0.0,-4.094,96.237,0.201,hip-hop
25,Runnin,0.819,0.626,0.00748,195906,0.101,-4.574,143.01,0.202,hip-hop
26,Redbone,0.745,0.353,0.174,326933,0.00662,-10.614,160.111,0.0983,hip-hop
27,The Color Violet,0.645,0.534,0.157,226467,0.0,-10.8,105.02,0.0479,hip-hop
28,Flashing Lights,0.639,0.628,0.0381,237507,0.0,-7.578,90.482,0.0399,hip-hop
29,HUMBLE.,0.908,0.621,0.000282,177000,5.39e-05,-6.638,150.011,0.102,hip-hop
30,Me and Your Mama,0.545,0.442,0.0104,379227,0.0271,-12.111,118.073,0.0352,hip-hop
31,Work Out,0.831,0.427,0.0531,235320,0.0,-6.903,93.004,0.106,hip-hop
32,Wants and Needs (feat. Lil Baby),0.578,0.449,0.0618,192956,2.17e-06,-6.349,136.006,0.286,hip-hop
33,ball w/o you,0.892,0.633,0.0467,195047,0.000189,-7.471,137.994,0.0902,hip-hop
34,Passionfruit,0.809,0.463,0.256,298941,0.085,-11.377,111.98,0.0396,hip-hop
35,Bound 2,0.367,0.665,0.145,229147,0.0,-2.821,148.913,0.0465,hip-hop
36,NEW MAGIC WAND,0.621,0.73,0.0967,195320,0.000131,-5.414,139.566,0.107,hip-hop
37,a lot,0.837,0.636,0.0395,288624,0.00125,-7.643,145.972,0.086,hip-hop
38,Fair Trade (with Travis Scott),0.666,0.465,0.0503,291175,0.0,-8.545,167.937,0.26,hip-hop
39,Don't,0.765,0.356,0.223,198293,0.0,-5.556,96.991,0.195,hip-hop
40,PUFFIN ON ZOOTIEZ,0.883,0.657,0.0603,172933,0.0,-5.748,124.992,0.305,hip-hop
41,Pure Cocaine,0.964,0.487,0.00127,154024,6.57e-06,-6.071,127.05,0.421,hip-hop
42,Drip Too Hard (Lil Baby & Gunna),0.897,0.662,0.0852,145543,0.0,-6.903,112.511,0.292,hip-hop
43,It Was A Good Day,0.798,0.744,0.33,260000,0.000106,-5.328,82.356,0.136,hip-hop
44,EARFQUAKE,0.554,0.498,0.23,190067,5.98e-06,-8.866,79.635,0.0685,hip-hop
45,Ric Flair Drip (with Metro Boomin),0.88,0.428,0.149,172800,5.05e-05,-8.28,100.007,0.206,hip-hop
46,Yes Indeed,0.963,0.346,0.0355,142273,0.0,-9.309,119.957,0.53,hip-hop
47,Ni**as In Paris,0.789,0.858,0.127,219333,0.0,-5.542,140.022,0.311,hip-hop
48,Father Stretch My Hands Pt. 1,0.724,0.573,0.118,135920,0.0,-4.113,113.088,0.0549,hip-hop
49,Lost,0.913,0.603,0.0272,234093,0.000503,-4.892,123.061,0.226,hip-hop
0,Let Me Love You,0.649,0.716,0.0863,205947,2.63e-05,-5.371,99.988,0.0349,electronic
1,"La leçon particulière - Bande originale du film ""La leçon particulière""",0.185,0.469,0.00652,105560,0.909,-7.729,150.319,0.0314,electronic
2,U Are My High (with Future),0.602,0.824,0.0867,211200,0.0,-4.087,125.147,0.0547,electronic
3,Bang Bang Bang Bang,0.729,0.581,0.531,181640,1.09e-06,-7.091,93.997,0.0304,electronic
4,Closer,0.547,0.714,0.000242,373000,0.636,-8.628,89.996,0.044,electronic
5,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",0.842,0.801,0.157,212500,4.82e-06,-4.167,95.881,0.228,electronic
6,Middle,0.583,0.695,0.0141,220573,0.0,-5.336,104.879,0.0423,electronic
7,QKThr,0.451,0.0223,0.993,87467,0.768,-26.117,79.042,0.0461,electronic
8,UCLA,0.536,0.879,0.0742,192000,0.0,-3.019,140.137,0.0621,electronic
9,Turn Down for What,0.818,0.799,0.00107,213733,0.128,-4.1,100.014,0.156,electronic
10,You Know You Like It,0.407,0.725,0.0141,247267,2.46e-06,-5.346,196.093,0.188,electronic
11,Shootout,0.663,0.578,0.312,295309,0.906,-9.079,86.986,0.0687,electronic
12,Shootout (Sped Up),0.684,0.605,0.216,242143,0.941,-8.678,104.647,0.0634,electronic
13,The Hand That Feeds,0.587,0.99,0.0172,211680,0.000668,-4.496,127.992,0.0783,electronic
14,Loco Contigo (feat. J. Balvin & Tyga),0.694,0.758,0.278,185195,1.34e-06,-2.986,192.091,0.218,electronic
15,"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)",0.8,0.837,0.00406,225600,0.00313,-2.807,100.015,0.0491,electronic
16,Rip & Tear,0.506,0.882,0.000655,257735,0.795,-8.683,107.994,0.0737,electronic
17,High You Are (Branchez Remix),0.691,0.856,0.0614,213340,0.119,-5.614,136.98,0.0407,electronic
18,DYWM,0.781,0.912,0.00296,390938,0.82,-5.41,127.988,0.0512,electronic
19,Teardrop,0.615,0.419,0.0173,330773,0.497,-8.8,76.997,0.0395,electronic
20,U Are My High,0.503,0.783,0.0221,180480,0.00223,-4.761,125.122,0.0385,electronic
21,Run It (feat. Rick Ross & Rich Brian),0.688,0.725,0.0195,163373,7.63e-06,-7.806,104.006,0.044,electronic
22,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",0.842,0.801,0.157,212500,4.82e-06,-4.167,95.881,0.228,electronic
23,Glory Box,0.51,0.434,0.177,308627,0.516,-10.004,119.695,0.0361,electronic
24,Your Soul,0.487,0.68,0.000599,324807,0.0339,-8.497,94.46,0.0408,electronic
25,Trust Nobody,0.356,0.576,0.641,225022,0.000921,-9.825,127.99,0.145,electronic
26,One Three Nine,0.81,0.864,0.0339,168000,0.927,-5.086,124.992,0.0374,electronic
27,Dance Yrself Clean,0.739,0.611,0.00557,536471,0.725,-9.829,98.004,0.0622,electronic
28,Bfg Division,0.284,0.722,0.00461,506763,0.873,-8.284,116.292,0.0559,electronic
29,Porcelain,0.297,0.634,0.00141,241173,0.175,-7.927,94.733,0.0335,electronic
30,Flower,0.686,0.61,0.19,206293,0.000966,-5.902,80.567,0.0262,electronic
31,Mile High (feat. Travis Scott & Metro Boomin),0.754,0.37,0.403,193600,6.22e-05,-9.854,114.941,0.12,electronic
32,Ghosts 'n' Stuff (feat. Rob Swire),0.611,0.613,4.73e-05,328747,0.105,-6.942,127.979,0.129,electronic
33,In The Waiting Line,0.561,0.33,0.76,271520,0.134,-13.51,79.01,0.0268,electronic
34,Ecstasy Of Soul,0.379,0.898,0.0238,238400,0.0265,-2.19,150.223,0.219,electronic
35,The Look,0.638,0.535,0.623,277653,0.0391,-7.792,84.947,0.0415,electronic
36,6 Underground,0.587,0.687,0.0281,228840,0.14,-8.635,169.938,0.0509,electronic
37,Avril 14th,0.558,0.0259,0.996,125520,0.871,-30.016,157.811,0.0458,electronic
38,Reasons,0.454,0.903,0.000764,241600,3.55e-05,-2.642,150.032,0.102,electronic
39,Nobody Speak,0.618,0.814,0.0403,195966,0.00236,-5.937,160.078,0.157,electronic
40,Head Like A Hole,0.666,0.798,0.00848,299680,0.00186,-11.26,115.382,0.0477,electronic
41,Hollow,0.451,0.915,0.000368,240000,2.12e-06,-3.325,145.069,0.0727,electronic
42,Shootout (Slowed + Reverb),0.722,0.543,0.355,140143,0.411,-9.789,137.143,0.0692,electronic
43,Puzzle Box,0.696,0.488,0.196,212211,0.836,-7.508,95.064,0.0403,electronic
44,You Wish,0.781,0.25,0.708,209317,0.91,-9.702,103.478,0.0297,electronic
45,Blue Monday,0.589,0.696,8.65e-05,267000,3.43e-05,-8.109,129.833,0.034,electronic
46,Praise You - Radio Edit,0.621,0.885,0.0418,227973,0.492,-6.826,109.728,0.0473,electronic
47,#3,0.159,0.071,0.911,464293,0.856,-27.109,146.977,0.0409,electronic
48,Coming Back (feat. SZA),0.653,0.496,0.625,195905,0.274,-7.262,86.013,0.0868,electronic
49,Assumptions,0.639,0.815,0.123,220838,0.00113,-4.718,126.055,0.221,electronic
